Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Hind.Adhesive,514428,,Packaging,353.90,11.43,181.20,20.59,32.07,24.10,162.97,2.17,337.04,14.61,0.96,0.24,0.85,4.14,8.00,5.38,12.44,30.98,22.86,0.51,47.96,0.51,377.74,250.52,0.00,68.58,10.36,51.96,4.00,9.39
Hindustan Hardy,505893,,Auto Ancillaries,786.75,22.61,118.01,27.57,32.50,23.33,171.97,4.57,367.14,15.28,1.70,0.34,0.17,7.10,9.00,7.20,14.99,34.83,26.61,1.24,109.16,0.15,448.80,118.51,0.00,66.16,6.15,4.61,5.00,12.42
Indiamart Inter.,542726,INDIAMART,Miscellaneous,2350.20,25.62,14108.76,35.70,91.73,28.09,364.02,6.46,866.80,53.42,2.40,0.85,0.02,7.61,8.00,39.66,22.60,91.73,41.10,2.40,1.05,6.00,1671.45,14057.36,0.00,49.17,5.07,1619.96,7.00,14.53
Indian Energy Ex,540750,IEX,Miscellaneous,199.86,42.98,17821.37,53.61,4.65,40.53,12.31,16.23,35.89,39.65,1.57,2.17,0.01,15.35,9.00,77.45,7.95,4.65,55.54,1.57,1.37,89.17,106.14,17714.87,0.00,0.00,3.12,677.62,5.00,21.23
Indian Hotels Co,500850,INDHOTEL,Hotels,766.35,64.53,109084.73,17.50,13.40,16.40,78.41,9.77,153.76,68.68,2.09,1.49,0.28,11.83,9.00,21.67,39.71,13.40,40.37,2.02,28.50,142.34,190.93,109987.44,0.00,38.12,2.26,3626.09,5.00,11.14
Indian Metals,533047,IMFA,Mining / Minerals / Metals,641.50,8.76,3461.16,23.75,73.12,18.31,431.83,1.49,867.26,8.02,2.91,0.13,0.13,5.00,9.00,13.15,14.66,77.41,6.15,1.92,11.12,5.40,774.84,3729.08,0.00,58.69,15.34,1089.46,7.00,13.33
Indrapr.Medical,532150,INDRAMEDCO,Healthcare,440.25,25.07,4035.90,39.01,17.56,29.97,65.09,6.76,160.37,13.42,2.41,0.85,0.05,11.38,8.00,11.87,15.16,17.56,48.04,2.37,20.30,9.17,286.26,3746.91,0.00,51.00,5.94,351.07,6.00,20.44
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,400.45,10.87,107918.75,29.22,36.85,33.36,120.59,3.32,316.22,14.67,1.32,0.41,0.65,4.85,8.00,32.97,2.81,36.85,14.37,1.32,57.77,269.49,307.81,127218.45,0.00,50.00,11.62,21260.20,4.00,16.69
Infronics Sys.,537985,,Computers - Software - Medium / Small,42.75,22.15,33.89,123.82,3.18,259.79,3.61,11.85,12.52,25.85,17.44,0.34,0.01,23.85,8.00,58.06,-0.76,1.93,30.73,17.44,66.44,0.79,23.60,31.41,0.00,53.55,7.16,2.92,4.00,51.27
Insolation Ener,543620,,Electric Equipment,256.55,55.58,5652.90,47.81,2.66,68.51,8.14,31.51,29.91,65.47,1.47,,0.41,29.73,8.00,7.49,,4.88,44.87,0.99,25.73,22.03,86.42,5708.67,0.00,66.22,2.22,19.40,3.00,26.17
Intl. Travel Hse,500213,,Travel Agencies,515.55,15.18,412.16,23.77,33.96,17.64,206.84,2.49,397.56,20.82,3.00,0.38,0.01,6.05,8.00,11.52,35.74,33.96,20.37,3.00,92.07,0.80,436.47,352.47,0.00,61.69,10.47,67.48,5.00,12.46
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1647.20,38.88,25643.15,26.62,42.37,20.75,220.54,7.47,458.52,29.99,3.04,1.89,0.01,12.70,8.00,16.83,17.35,42.37,30.75,2.20,75.96,15.57,827.33,25535.23,0.00,47.84,3.52,1184.98,3.00,15.97
Jagsonpal Fin.,530601,,Finance & Investments,61.40,210.91,111.78,45.86,0.65,45.86,2.07,29.62,6.70,48.30,4.16,11.02,0.00,126.14,8.00,72.00,60.91,0.96,21.48,3.59,43.80,1.82,4.00,111.63,0.00,60.93,0.47,0.80,2.00,33.03
K P R Mill Ltd,532889,KPRMILL,Textiles - Products,1175.90,49.31,40193.91,20.26,23.85,17.42,146.34,8.04,280.21,21.17,4.29,2.89,0.09,14.25,8.00,12.76,9.82,23.85,41.13,1.88,33.49,34.18,292.71,40341.69,0.00,70.68,2.76,1551.72,3.00,13.79
Kachchh Minerals,531778,,Mining / Minerals / Metals,34.66,,18.37,32.45,1.17,38.51,3.62,9.57,,37.12,4.97,,0.16,13.36,8.00,23.75,29.21,-0.34,17.64,4.62,102.09,0.53,,17.55,0.00,41.91,-0.68,1.33,4.00,27.49
KDDL Ltd,532054,KDDL,Miscellaneous,2738.10,34.37,3432.79,18.65,81.90,17.20,678.35,4.04,1102.65,33.53,3.45,0.96,0.38,5.33,8.00,9.85,36.34,79.66,30.81,1.93,18.53,1.25,1843.09,3184.22,0.00,50.43,6.98,15.13,6.00,9.81
KFin Technolog.,543720,KFINTECH,Miscellaneous,1065.80,55.14,18340.64,34.21,19.33,26.10,81.81,13.03,188.63,46.53,5.19,0.40,0.03,19.86,8.00,30.50,19.48,19.33,55.54,5.19,64.47,17.21,371.62,18216.79,0.00,32.91,2.48,671.66,4.00,20.99
